Surgical neck humerus	Axillary nerve	Deltoid weakness, sensory loss over regimental patch
Midshaft humerus	Radial nerve in spiral groove	Wrist drop
Medial epicondyle	Ulnar nerve	Claw hand
Fibular neck	Common fibular nerve	Foot drop
Carpal tunnel contents	Median nerve + 9 flexor tendons	Thenar wasting, ape hand
Tarsal tunnel contents	Tibialis posterior, FDL, posterior tibial artery/vein, tibial nerve, FHL	Burning sole pain
Femoral triangle contents	NAVL lateral → medial	Femoral access, hernia relevance
Direct inguinal hernia	Medial to inferior epigastrics	Through Hesselbach’s triangle
Indirect inguinal hernia	Lateral to inferior epigastrics	Through deep ring, in spermatic cord
Long thoracic nerve	Serratus anterior	Winged scapula
Suprascapular nerve	Supraspinatus + infraspinatus	Weak initiation of abduction
Upper trunk lesion (C5–6)	Erb palsy	Waiter’s tip
Lower trunk lesion (C8–T1)	Klumpke palsy	Claw hand ± Horner syndrome
Superior gluteal nerve	Gluteus medius/minimus	Trendelenburg gait
Tibial nerve	Posterior compartment leg	Loss plantarflexion
Obturator nerve	Medial thigh	Weak adduction
Femoral nerve	Anterior thigh	Weak knee extension
Sciatic nerve	Posterior thigh	Weak knee flexion; hip extension may be weakened through hamstring loss
Phrenic nerve	Anterior to the lung root/hilum	Shoulder-tip pain via C3–5
Vagus nerve	Posterior to the lung root/hilum	Parasympathetic supply to thorax and abdomen
Left RLN	Loops under aortic arch beside ligamentum arteriosum	Hoarseness in thoracic disease
Right RLN	Loops under right subclavian artery	Neck relation
T4/T5	Sternal angle and carina	Aortic arch begins/ends at this plane
T8	IVC + right phrenic nerve	Caval opening
T10	Oesophagus + vagal trunks	Oesophageal hiatus
T12	Aorta + thoracic duct + azygos vein	Aortic hiatus
Thoracic duct drainage	Entire body except right upper quadrant	Drains into left venous angle
Right lymphatic duct	Right head/neck, thorax and upper limb	Drains into right venous angle
Lung apex	About 2 cm above medial clavicle	Pneumothorax risk in lower neck injury/procedures
Hilum relation	RALS = right pulmonary artery anterior, left pulmonary artery superior	Bronchus lies posteriorly
Cardiac notch	Left lung	Creates exposed left cardiac border
LAD artery	Anterior interventricular sulcus	Common culprit in large anterior infarction
Pterion	Middle meningeal artery lies deep to it	Epidural haematoma
Cavernous sinus contents	III, IV, V1, V2 in lateral wall; VI beside internal carotid artery	Ophthalmoplegia and facial sensory loss
CN III lesion	Down-and-out eye, ptosis, dilated pupil	Oculomotor palsy
CN VI lesion	Failure to abduct eye	Vulnerable in raised intracranial pressure
PICA infarct	Lateral medullary syndrome	Dysphagia, hoarseness and crossed sensory findings
Internal capsule lesion	Dense contralateral motor/sensory deficit	Face, arm and leg affected together
Retropharyngeal danger space	Can track inferiorly into mediastinum	Deep neck infection spread
Posterior triangle contents	CN XI, brachial plexus and lymph nodes	Biopsy or surgery may injure accessory nerve
Calot’s triangle	Common hepatic duct, cystic duct and inferior liver surface	Landmark for cystic artery
Portal triad	Common bile duct, hepatic artery and portal vein	Contained in hepatoduodenal ligament
Portal vein formation	SMV + splenic vein behind neck of pancreas	Portal hypertension and pancreatic surgery relevance
Tail of pancreas	In splenorenal ligament	Only intraperitoneal part of pancreas
Pancreas	Retroperitoneal except tail	Posterior surgical relations
Morison’s pouch	Between liver and right kidney	Dependent fluid collection in supine patient
Bare area of liver	Directly related to diaphragm and IVC	Route for spread between abdomen and thorax
Ureter constrictions	PUJ, pelvic brim and VUJ	Typical stone lodgement sites
Pudendal nerve	Runs in Alcock canal after crossing sacrospinous ligament	Pudendal block landmark
Umbilicus dermatome	T10	Midgut visceral pain referral
Epigastrium dermatome	T7	Foregut pain referral
Suprapubic dermatome	L1	Hindgut/pelvic pain referral
Scaphoid fracture	Retrograde blood supply from distal radial artery branches	Proximal-pole avascular necrosis risk
Radial head fracture	Pain and restriction of pronation/supination	Occult elbow fracture pattern
Medial malleolus	Posterior tibial pulse lies behind it	Peripheral perfusion landmark
Achilles reflex	S1–S2 via tibial nerve	Tests S1 predominantly
L4 landmark	Intercristal line crosses L4/L4–5	Lumbar puncture landmark
Carina	T4–5 at sternal angle	Aspiration and cough-reflex landmark
Oesophageal constrictions	Cricoid, aortic arch, left main bronchus and diaphragm	Foreign-body lodgement and endoscopy relevance
Thoracic outlet syndrome	Compression of brachial plexus and subclavian vessels	Neurovascular upper-limb symptoms
RLN nerve supply	All intrinsic laryngeal muscles except cricothyroid	Hoarseness and vocal-cord palsy
External laryngeal nerve	Cricothyroid muscle	Pitch control
Cribriform plate fracture	Tears olfactory fibres and dura	CSF rhinorrhoea and meningitis risk
Cavernous sinus thrombosis	Ophthalmoplegia + V1/V2 sensory loss	Facial infection spread through valveless veins
Emissary veins	Valveless connections between extracranial and intracranial veins	Intracranial infection spread
Batson plexus	Valveless vertebral venous plexus	Prostate and pelvic metastasis to spine
Spleen relation	Deep to ribs 9–11 on left	Rupture risk after lower-rib trauma
Gallbladder surface landmark	Tip of right 9th costal cartilage	Murphy point
Appendix pain	Initially periumbilical at T10 then localises to RIF	Midgut visceral afferents then parietal peritoneum
Greater omentum	Mobile peritoneal apron	Walls off intra-abdominal infection
Puborectalis	Maintains anorectal angle	Continence
Detrusor muscle	Parasympathetic S2–4 contracts bladder	Urinary retention in sacral autonomic dysfunction
Internal urethral sphincter	Sympathetic smooth muscle at bladder neck	Prevents retrograde ejaculation
CN XI test	Shoulder shrug and head turn against resistance	Trapezius and SCM weakness
Hypoglossal lesion	Tongue deviates toward LMN lesion	CN XII localisation
Corneal reflex afferent	V1 nasociliary branch	Sensory limb
Corneal reflex efferent	VII	Blink response
Stylopharyngeus	CN IX	Elevates pharynx
Soft palate/larynx	Mainly vagus via pharyngeal and recurrent laryngeal branches	Dysphagia, palatal droop or hoarseness
Pterygopalatine ganglion	Parasympathetic relay for lacrimation and nasal secretion	Dry eye/nasal mucosa if pathway damaged
Submandibular ganglion	Parasympathetic relay for submandibular/sublingual salivation	CN VII fibres via chorda tympani
Horner syndrome	Ptosis, miosis and anhidrosis	Sympathetic chain lesion
Trachea levels	C6 to T4/5	Carina at sternal angle
Right main bronchus	Wider, shorter and more vertical	Aspiration risk
Bronchopulmonary segments	Classically 10 on right and 8–10 on left	Independent surgical resection units
Pulmonary lymph drainage	Pulmonary → hilar → tracheobronchial → paratracheal nodes	Lung-cancer spread
Axillary node levels	Defined relative to pectoralis minor	Breast-cancer staging and clearance
Sentinel node	First draining lymph node	Cancer spread assessment
Coarctation collateral flow	Posterior and anterior intercostal arterial channels	Inferior rib notching
Shoulder joint	Highly mobile and relatively unstable	Anterior dislocation risk
Hip joint	Deep, stable weight-bearing ball-and-socket joint	Less mobile than shoulder
Knee menisci	Increase congruence and absorb load	Common twisting tears
Ligamentum flavum	Forms posterior wall of spinal canal	Hypertrophy may cause stenosis
Disc herniation	Usually posterolateral because PLL is weaker laterally	Compresses traversing nerve root
Vertebra prominens	C7	Surface landmark
Diaphragm innervation	Phrenic nerve C3–5	Shoulder referred pain
Thoracic duct origin	Cisterna chyli at L1–2	Ascends through aortic hiatus
Portal hypertension	Recanalised paraumbilical veins cause caput medusae	Portosystemic collateral
Nutcracker syndrome	Left renal vein compressed between SMA and aorta	Haematuria and pelvic congestion
Suprarenal veins	Right drains directly to IVC; left to left renal vein	Surgical relevance
Common bile duct + pancreatic duct	Join at hepatopancreatic ampulla (of Vater)	Open at major duodenal papilla
Sphincter of Oddi	Controls bile and pancreatic juice entry	Obstructive jaundice/pancreatitis relevance
Fibrous skeleton heart	Electrically insulates atria from ventricles	Normal conduction forced through AV node/His bundle
Foramen ovale fetal function	Right-to-left atrial shunt	Bypasses fetal lungs
Ductus arteriosus remnant	Ligamentum arteriosum	Close relation to left RLN
SA node location	Right atrium near SVC junction	Primary pacemaker
Mitral valve closure	Produces S1 with tricuspid closure	Beginning of systole
Aortic valve auscultation	Right 2nd intercostal space	Aortic stenosis murmur assessment
Median nerve sensory territory	Palmar lateral 3½ digits plus dorsal fingertips	Carpal tunnel/FOOSH localisation
Radial nerve sensory territory	Dorsal first web space	Differentiates radial from median/ulnar lesion
Ulnar nerve sensory territory	Medial 1½ digits	Claw-hand localisation
Epidural needle layers	Skin → fascia → supraspinous → interspinous → ligamentum flavum → epidural space → dura	Loss-of-resistance technique
Epidural space contents	Fat + internal vertebral venous plexus	Epidural anaesthesia and haematoma relevance
Dural sac	Ends at S2	Lumbar puncture safety
Umbilical arteries	Carry deoxygenated blood from fetus to placenta	Become medial umbilical ligaments
