Brainstem Rule of 4s	Brainstem localisation	Four medial M structures are the motor pathway, medial lemniscus, MLF and motor cranial-nerve nuclei/fascicles; four lateral S structures are spinocerebellar, spinothalamic, sensory trigeminal and sympathetic pathways.	Medial lesions favour contralateral weakness/proprioceptive loss with ipsilateral motor cranial-nerve or gaze findings; lateral lesions favour ipsilateral ataxia/Horner/facial pain-temperature loss with contralateral body pain-temperature loss.	The Rule of 4s is a localisation framework, not a list of named vascular syndromes; first identify level and side, then decide medial versus lateral.	Given a combination of cranial-nerve and long-tract signs, identify the brainstem level, lesion side and medial/lateral position.
Brainstem cranial-nerve levels	Brainstem localisation	CN III-IV arise from the midbrain, V-VIII from the pons and IX-XII from the medulla; clinically these nuclei/fascicles provide a rapid level marker.	An ipsilateral ocular, facial or bulbar cranial-nerve deficit can identify both the brainstem level and usually the side of the lesion.	Do not simply allocate CN I-IV to midbrain: I and II are not brainstem nerves; the clinically useful midbrain localisers are III and IV.	Use the affected cranial nerve first: III/IV → midbrain, V-VIII → pons, IX-XII → medulla.
Medial brainstem localisation	Brainstem localisation	Medial structures include corticospinal motor fibres, medial lemniscus, MLF and the relevant medial motor cranial-nerve structures.	A medial lesion may give an ipsilateral motor cranial-nerve deficit plus contralateral weakness and/or contralateral vibration-proprioception loss; MLF involvement adds conjugate-gaze dysfunction.	Contralateral pain-temperature loss with ipsilateral facial pain-temperature loss instead points toward lateral brainstem structures.	An ipsilateral VI palsy with contralateral hemiparesis should immediately suggest a medial pontine lesion.
Lateral brainstem localisation	Brainstem localisation	Lateral structures include spinocerebellar pathways, spinothalamic tract, spinal trigeminal sensory pathway and descending sympathetic fibres.	Typical findings are ipsilateral ataxia, ipsilateral facial pain-temperature loss, ipsilateral Horner syndrome and contralateral body pain-temperature loss.	Marked corticospinal weakness is less characteristic of a purely lateral lesion; crossed pain-temperature loss is particularly valuable.	Use ipsilateral face plus contralateral body pain-temperature loss to recognise a lateral brainstem lesion and then use cranial-nerve/bulbar signs to determine pons versus medulla.
Corticospinal tract in the brainstem	Brainstem localisation	Corticospinal fibres descend through cerebral peduncle, ventral pons and medullary pyramids before most cross at the caudal medullary pyramidal decussation.	A unilateral lesion above the pyramidal decussation causes contralateral UMN limb weakness.	Below the decussation, spinal-cord corticospinal lesions cause ipsilateral weakness; do not apply the brainstem laterality rule below the crossing.	Right brainstem corticospinal involvement explains left-sided pyramidal weakness.
Medial lemniscus in the brainstem	Brainstem localisation	Dorsal-column fibres synapse in gracile/cuneate nuclei and cross in the caudal medulla before ascending as the medial lemniscus.	Brainstem medial-lemniscus injury causes contralateral loss of vibration, proprioception and discriminative touch.	Pain-temperature loss is spinothalamic, not medial lemniscal; distinguish sensory modality before localising.	Contralateral loss of joint position/vibration accompanying a motor cranial-nerve palsy supports a medial brainstem lesion.
Spinothalamic tract in the brainstem	Brainstem localisation	Body pain-temperature fibres cross near their spinal level of entry and ascend contralaterally in the anterolateral/spinothalamic pathway.	A unilateral brainstem lesion therefore causes contralateral body pain-temperature loss.	The face uses trigeminal pathways; opposite-sided face and body pain-temperature deficits are not contradictory but strongly localising.	Left body pain-temperature loss with right facial pain-temperature loss points to a right lateral brainstem lesion.
Spinal trigeminal sensory pathway	Brainstem localisation	Facial pain-temperature fibres descend ipsilaterally in the spinal trigeminal tract before synapsing in the spinal trigeminal nucleus.	Lateral brainstem injury causes ipsilateral facial pain-temperature loss, often with contralateral body pain-temperature loss from spinothalamic involvement.	Do not expect face and body pain-temperature loss to be on the same side in the classic crossed lateral brainstem pattern.	Right facial pain-temperature loss plus left body pain-temperature loss localises to the right lateral brainstem.
Medial longitudinal fasciculus	Brainstem localisation	The MLF links the abducens nucleus of one side to the contralateral oculomotor medial-rectus subnucleus, coordinating conjugate horizontal gaze.	A unilateral MLF lesion produces impaired adduction of the ipsilateral eye during horizontal gaze with contralateral abducting nystagmus.	An MLF lesion is an internuclear gaze disorder, not an isolated CN III palsy; ptosis and pupillary abnormalities are not expected from an isolated MLF lesion.	Failure of the left eye to adduct on right gaze with right abducting nystagmus localises to the left MLF.
Internuclear ophthalmoplegia	Brainstem localisation	INO results from interruption of the MLF between the abducens and contralateral oculomotor nuclei.	The eye ipsilateral to the lesion fails to adduct during horizontal gaze; the abducting contralateral eye often develops nystagmus, while convergence may be preserved.	Bilateral INO in a younger adult strongly suggests demyelination; a unilateral acute INO in an older adult may represent brainstem ischaemia.	Left adduction failure during right gaze with preserved primary-position ocular motor function should prompt localisation to the left MLF rather than peripheral CN III.
