Cardiac output	Cardiovascular	Cardiac output = heart rate × stroke volume.	Falls with severe bradycardia, tachycardia or reduced stroke volume; compensation raises heart rate and systemic vascular resistance.	A normal blood pressure can coexist with reduced output if vasoconstriction is strong.	Use the equation to interpret shock, exercise and drug effects.
Mean arterial pressure	Cardiovascular	MAP is approximated by diastolic pressure + one third of pulse pressure at normal heart rates; physiologically MAP ≈ cardiac output × systemic vascular resistance.	Hypotension may reflect reduced output, reduced vascular resistance or both.	Do not equate systolic pressure alone with organ perfusion.	Separate pump failure from vasodilatory shock using output and resistance.
Frank–Starling mechanism	Cardiovascular	Within physiological limits, greater end-diastolic fibre stretch increases force of contraction and stroke volume.	A fluid-responsive patient increases stroke volume when preload rises; a failing ventricle may sit on the flat part of the curve.	Frank–Starling changes force through preload, not intrinsic contractility.	Predict the response to a fluid challenge or venous-return change.
Preload	Cardiovascular	Preload reflects ventricular end-diastolic stretch and is influenced by venous return, blood volume and ventricular compliance.	It falls in haemorrhage and rises with fluid loading or venoconstriction.	Filling pressure is only a surrogate and can be high despite low effective filling in a stiff ventricle.	Interpret JVP, fluid responsiveness and pressure–volume loops.
Afterload	Cardiovascular	Afterload is the load against which the ventricle ejects, closely related to arterial pressure, vascular resistance and wall stress.	Raised afterload reduces stroke volume and increases myocardial oxygen demand.	Systemic vascular resistance is not identical to afterload, particularly with valvular obstruction.	Explain why vasodilators improve forward flow in selected heart-failure states.
Contractility	Cardiovascular	Contractility is intrinsic myocardial force generation at a given preload and afterload.	Catecholamines increase contractility; myocardial infarction and severe acidosis reduce it.	A larger stroke volume after fluid does not by itself prove increased contractility.	Distinguish inotropy from preload effects on a pressure–volume loop.
Ejection fraction	Cardiovascular	Ejection fraction = stroke volume ÷ end-diastolic volume.	It is reduced in many systolic-failure states but may be preserved or high when the ventricle is small or concentric.	A normal EF does not guarantee normal stroke volume or normal diastolic function.	Interpret HFrEF, HFpEF and low-flow states.
Pressure–volume loop: increased preload	Cardiovascular	Increased preload raises end-diastolic volume and widens the pressure–volume loop if contractility and afterload are unchanged.	Stroke volume increases through Frank–Starling physiology.	End-systolic pressure–volume relation does not shift with isolated preload change.	Recognise the loop change after fluid loading.
Pressure–volume loop: increased afterload	Cardiovascular	Increased afterload raises systolic pressure, increases end-systolic volume and narrows the loop.	Stroke volume falls and myocardial work rises.	Do not mistake the higher pressure for improved contractility.	Recognise acute hypertension or aortic stenosis effects.
Pressure–volume loop: increased contractility	Cardiovascular	Increased contractility steepens the end-systolic pressure–volume relation and reduces end-systolic volume.	Stroke volume and ejection fraction increase at the same preload.	It is distinguished from preload increase by a leftward end-systolic point.	Recognise catecholamine or inotrope effects.
S1 heart sound	Cardiovascular	S1 is produced mainly by mitral and tricuspid valve closure at the start of systole.	It is loud with short PR or mobile stenotic mitral leaflets and soft with long PR or severe mitral regurgitation.	S1 is not semilunar valve opening.	Link timing of murmurs to the cardiac cycle.
S2 physiological splitting	Cardiovascular	Inspiration delays pulmonic valve closure because increased right-sided filling prolongs right ventricular ejection.	A2 precedes P2 and the split widens on inspiration.	Expiration narrows the normal split; it does not remain fixed.	Distinguish normal splitting from ASD, RBBB and LBBB patterns.
Fixed split S2	Cardiovascular	An atrial septal defect produces relatively fixed right ventricular volume loading across respiration.	S2 remains widely split during inspiration and expiration.	Do not confuse with wide variable splitting from RBBB.	Use the sound pattern to identify ASD physiology.
Wide split S2	Cardiovascular	Delayed right ventricular emptying, classically RBBB or pulmonary stenosis, delays P2.	The split is present at expiration and widens further with inspiration.	Unlike ASD, respiratory variation remains.	Differentiate conduction delay from fixed shunt physiology.
Paradoxical split S2	Cardiovascular	Delayed left ventricular emptying causes A2 to occur after P2.	The split appears on expiration and narrows or disappears on inspiration.	Think LBBB or severe aortic stenosis, not RBBB.	Localise delayed semilunar valve closure.
JVP a wave	Cardiovascular	The a wave reflects right atrial contraction immediately before ventricular systole.	It is absent in atrial fibrillation and prominent when right ventricular filling is resisted.	It is not the carotid upstroke and is not palpable.	Use waveform timing to identify rhythm and tricuspid inflow obstruction.
Cannon a waves	Cardiovascular	Intermittent atrial contraction against a closed tricuspid valve creates cannon a waves.	Seen with AV dissociation, complete heart block or ventricular tachycardia.	Regular giant a waves suggest fixed resistance; irregular cannon waves suggest variable AV timing.	Recognise AV dissociation at the bedside.
JVP v wave	Cardiovascular	The v wave reflects right atrial filling during ventricular systole.	Large systolic v waves occur in significant tricuspid regurgitation.	The v wave rises during systole, unlike the presystolic a wave.	Link waveform timing to valvular lesions.
Kussmaul sign	Cardiovascular	JVP rises or fails to fall during inspiration because the right ventricle cannot accommodate increased venous return.	Occurs in constrictive pericarditis, restrictive cardiomyopathy and right ventricular infarction.	Cardiac tamponade usually causes prominent x descent but classically not Kussmaul sign.	Differentiate impaired right-sided filling states.
Pulsus paradoxus	Cardiovascular	Exaggerated inspiratory fall in systolic pressure reflects ventricular interdependence and reduced left ventricular filling.	Classically seen in cardiac tamponade and severe asthma.	It is a quantitative inspiratory pressure change, not disappearance of the pulse by definition.	Use respiratory haemodynamics to identify tamponade or severe airflow obstruction.
Baroreceptor reflex	Cardiovascular	Reduced carotid sinus and aortic arch stretch decreases afferent firing, increasing sympathetic and reducing vagal output.	Standing causes tachycardia, vasoconstriction and increased contractility.	The reflex is rapid; RAAS and renal sodium retention are slower.	Explain orthostatic responses and reflex tachycardia.
RAAS activation	Cardiovascular/Renal	Reduced renal perfusion, reduced macula-densa sodium chloride or beta-1 stimulation releases renin, producing angiotensin II and aldosterone.	Angiotensin II constricts efferent arterioles and aldosterone retains sodium while excreting potassium and hydrogen ions.	ADH retains water but is not part of the renin–angiotensin enzymatic cascade.	Interpret heart failure, renal artery stenosis and hyperaldosteronism.
Coronary perfusion timing	Cardiovascular	Most left coronary flow occurs in diastole because systolic myocardial compression limits intramural flow.	Tachycardia shortens diastole and can provoke ischaemia.	Right coronary flow is less diastole-dominant because right ventricular systolic pressure is lower.	Explain demand ischaemia during tachyarrhythmia.
Myocardial oxygen demand	Cardiovascular	Demand rises with heart rate, contractility and ventricular wall stress.	Beta-blockade lowers demand; hypertension and tachycardia increase it.	Coronary oxygen extraction is already high, so increased demand is met mainly by increased flow.	Explain anti-anginal drug effects.
Law of Laplace: ventricle	Cardiovascular	Wall stress increases with intracavitary pressure and chamber radius and decreases with wall thickness.	A dilated ventricle has greater wall stress and oxygen demand; concentric hypertrophy initially reduces stress.	Hypertrophy may reduce stress but worsen compliance and oxygen supply–demand balance.	Link ventricular geometry to heart failure.
Hypovolaemic shock physiology	Cardiovascular	Low circulating volume reduces preload, stroke volume and cardiac output; sympathetic tone raises heart rate and systemic vascular resistance.	Typical profile: low filling pressures, low output, high resistance and cool peripheries.	Early blood pressure may be maintained despite significant volume loss.	Distinguish volume loss from distributive shock.
Cardiogenic shock physiology	Cardiovascular	Primary pump failure reduces cardiac output while filling pressures and systemic vascular resistance rise.	Pulmonary oedema, cool peripheries and raised JVP may coexist.	Fluids may worsen congestion when the ventricle is failing.	Interpret post-MI hypotension and haemodynamic profiles.
Distributive shock physiology	Cardiovascular	Pathological vasodilation lowers systemic vascular resistance; cardiac output is often high early and may fall later.	Warm peripheries and wide pulse pressure can occur in early sepsis.	A normal or raised output does not mean tissue oxygen delivery is adequate.	Differentiate vasoplegia from pump failure.
Obstructive shock physiology	Cardiovascular	Mechanical obstruction limits filling or outflow, reducing cardiac output despite preserved intrinsic myocardial function.	Tamponade, tension pneumothorax and massive pulmonary embolism cause raised venous pressure with hypotension.	The obstruction site determines whether lungs are clear or congested.	Identify the reversible mechanical cause from bedside findings.
ECG P wave	Cardiac electrophysiology	The P wave represents atrial depolarisation.	Abnormal morphology can suggest atrial enlargement or ectopic atrial activation.	Atrial repolarisation is usually hidden within the QRS complex.	Use P-wave presence and relation to QRS to analyse rhythm.
PR interval	Cardiac electrophysiology	The PR interval reflects atrial-to-ventricular conduction, mostly AV nodal delay.	It lengthens in first-degree AV block and shortens with accessory-pathway pre-excitation.	PR segment depression is a different finding, associated with pericarditis.	Localise conduction delay or pre-excitation.
QRS complex	Cardiac electrophysiology	The QRS complex represents ventricular depolarisation.	Widening suggests bundle-branch delay, ventricular origin, pre-excitation or toxic/metabolic conduction slowing.	It does not represent ventricular contraction itself.	Distinguish supraventricular from ventricular rhythm mechanisms.
QT interval	Cardiac electrophysiology	QT spans ventricular depolarisation through repolarisation and varies with heart rate.	Prolongation increases torsades risk; shortening occurs with hypercalcaemia.	Use a corrected QT rather than comparing raw QT at very different rates.	Assess electrolyte and drug-related arrhythmic risk.
SA-node phase 4 depolarisation	Cardiac electrophysiology	Spontaneous phase-4 depolarisation is driven by funny current, calcium currents and declining potassium conductance.	Sympathetic stimulation steepens phase 4 and increases rate; vagal stimulation flattens it.	Pacemaker cells lack the stable resting potential of ventricular myocytes.	Explain autonomic effects on heart rate.
Ventricular action-potential phase 0	Cardiac electrophysiology	Rapid sodium influx produces phase-0 depolarisation in ventricular myocytes and His–Purkinje tissue.	Sodium-channel blockade slows conduction and can widen QRS.	AV nodal phase 0 depends mainly on calcium, not fast sodium channels.	Predict tissue-specific antiarrhythmic effects.
Ventricular action-potential phase 2	Cardiac electrophysiology	The plateau reflects balanced L-type calcium influx and potassium efflux.	Calcium entry triggers calcium-induced calcium release and contraction.	It is absent as a prominent plateau in nodal pacemaker cells.	Connect electrical activity to excitation–contraction coupling.
Hyperkalaemia ECG physiology	Cardiac electrophysiology	Raised extracellular potassium initially accelerates repolarisation, then depolarises resting potential and inactivates sodium channels.	Progression may include peaked T waves, PR prolongation, QRS widening and sine-wave morphology.	ECG severity does not correlate perfectly with serum potassium, so a near-normal ECG does not exclude danger.	Explain why calcium stabilises myocardium without lowering potassium.
Hypokalaemia ECG physiology	Cardiac electrophysiology	Low extracellular potassium delays repolarisation and promotes triggered activity.	ST depression, flattened T waves, prominent U waves and apparent QT/QU prolongation may occur.	Prominent U waves can be mistaken for a second T wave.	Link diuretic loss to ventricular arrhythmia risk.
Calcium and QT interval	Cardiac electrophysiology	Hypercalcaemia shortens the plateau and QT interval; hypocalcaemia prolongs QT mainly by prolonging ST.	Severe hypocalcaemia can predispose to ventricular arrhythmia.	Calcium disorders alter QT more than QRS width.	Use ECG duration to support electrolyte interpretation.
